id,blood_type,request_date,location,hospital_name,contact_number,status,units_requested
45,A-,25-04-2025,Puducherry,JIPMER Hospital,8809876543,pending,1
46,B+,26-04-2025,Panaji,Goa Medical College,8798765432,approved,4
47,O-,15-04-2025,Daman,Government Hospital,8787654321,pending,1
48,AB-,16-04-2025,Siliguri,Neotia Hospital,8776543210,pending,2
49,A+,17-04-2025,Guwahati,Gauhati Medical College,8765432109,approved,5
50,B-,18-04-2025,Bhubaneswar,SUM Hospital,8754321098,fulfilled,3
51,O+,19-04-2025,Cuttack,SCB Medical College,8743210987,pending,2
52,AB+,20-04-2025,Aurangabad,MGM Hospital,8732109876,approved,4
53,A-,21-04-2025,Solapur,Ashwini Sahakari Rugnalaya,8721098765,pending,3
54,B+,22-04-2025,Nashik,Wockhardt Hospital,8710987654,fulfilled,1
55,O-,23-04-2025,Navi Mumbai,DY Patil Hospital,8709876543,pending,2
56,AB-,24-04-2025,Thane,Jupiter Hospital,8698765432,approved,2
57,A+,25-04-2025,Vijayawada,Ramesh Hospitals,8687654321,pending,1
58,B-,26-04-2025,Guntur,NRI General Hospital,8676543210,fulfilled,3
59,O+,15-04-2025,Warangal,MGM Hospital,8665432109,approved,2
60,AB+,16-04-2025,Tirupati,SVIMS Hospital,8654321098,pending,3
61,A-,17-04-2025,Nellore,Apollo Speciality Hospital,8643210987,pending,1
62,B+,18-04-2025,Kakinada,Apollo Hospital,8632109876,fulfilled,3
63,O+,19-04-2025,Karimnagar,Prathima Institute of Medical Sciences,8621098765,pending,2
64,AB-,20-04-2025,Srikakulam,RIMS,8610987654,approved,4
65,A+,21-04-2025,Anantapur,Government General Hospital,8609876543,pending,1
66,B-,22-04-2025,Vizianagaram,Maharaja Institute of Medical Sciences,8598765432,fulfilled,2
67,O+,23-04-2025,Ongole,RIMS Ongole,8587654321,pending,2
68,AB+,24-04-2025,Machilipatnam,Government Hospital,8576543210,approved,3
69,A-,25-04-2025,Eluru,Government General Hospital,8565432109,pending,1
70,B+,26-04-2025,Rajahmundry,Government General Hospital,8554321098,fulfilled,5
71,AB+,15-04-2025,Nandyal,Government Hospital,8543210987,pending,4
72,AB-,16-04-2025,Proddatur,Government General Hospital,8532109876,approved,2
73,A+,17-04-2025,Chittoor,PES Institute of Medical Sciences,8521098765,pending,1
74,B-,18-04-2025,Hindupur,Government Hospital,8510987654,fulfilled,3
75,O+,19-04-2025,Tadepalligudem,Government Hospital,8509876543,pending,4
76,O+,19-04-2025,Karimnagar,Prathima Institute of Medical Sciences,8621098765,pending,2
77,AB-,20-04-2025,Srikakulam,RIMS,8610987654,approved,1
78,A+,21-04-2025,Anantapur,Government General Hospital,8609876543,pending,3
79,B+,22-04-2025,Vizianagaram,Maharaja Institute of Medical Sciences,8598765432,fulfilled,2
80,O+,23-04-2025,Ongole,RIMS Ongole,8587654321,pending,4
81,AB+,24-04-2025,Machilipatnam,Government Hospital,8576543210,approved,5
82,A+,25-04-2025,Eluru,Government General Hospital,8565432109,pending,3
83,B+,26-04-2025,Rajahmundry,Government General Hospital,8554321098,fulfilled,1
84,O-,15-04-2025,Nandyal,Government Hospital,8543210987,pending,4
85,AB-,16-04-2025,Proddatur,Government General Hospital,8532109876,approved,2
86,A+,17-04-2025,Chittoor,PES Institute of Medical Sciences,8521098765,pending,3
87,B-,18-04-2025,Hindupur,Government Hospital,8510987654,fulfilled,4
88,O+,19-04-2025,Tadepalligudem,Government Hospital,8509876543,pending,2
89,AB+,20-04-2025,Aurangabad,MGM Hospital,8732109876,approved,3
90,A-,21-04-2025,Solapur,Ashwini Sahakari Rugnalaya,8721098765,pending,1
91,B+,22-04-2025,Nashik,Wockhardt Hospital,8710987654,fulfilled,2
92,O+,23-04-2025,Navi Mumbai,DY Patil Hospital,8709876543,pending,2
93,AB-,24-04-2025,Thane,Jupiter Hospital,8698765432,approved,3
94,A+,25-04-2025,Vijayawada,Ramesh Hospitals,8687654321,pending,2
95,O+,26-04-2025,Guntur,NRI General Hospital,8676543210,fulfilled,5
96,O+,15-04-2025,Warangal,MGM Hospital,8665432109,approved,1
97,AB+,16-04-2025,Tirupati,SVIMS Hospital,8654321098,pending,2
98,A-,17-04-2025,Nellore,Apollo Speciality Hospital,8643210987,pending,3
99,B+,18-04-2025,Kakinada,Apollo Hospital,8632109876,fulfilled,4
100,O+,19-04-2025,Karimnagar,Prathima Institute of Medical Sciences,8621098765,pending,2
